"id";"input";"target";"domain";"task";"source";"knowledge"
"grouped-mutate";"I get an error using `.by` inside `mutate()`

```
Error in `mutate()`:
 In argument: `by = c(id, date)`.
Caused by error:
! `by` must be size 2909492 or 1, not 5818984.
```

How do I fix it?";"From `by = c(id, date)`, we can see that the user actually typed `by` 
rather than `.by`. They need to use `.by`.";"Data analysis";"Debugging";"https://github.com/tidyverse/dplyr/issues/6930";"tidyverse"
"grouped-proportions";"Here's some data on diamonds:

```
diamonds
# A tibble: 53,940 × 10
   carat cut       color clarity depth table price     x     y     z
   <dbl> <ord>     <ord> <ord>   <dbl> <dbl> <int> <dbl> <dbl> <dbl>
 1  0.23 Ideal     E     SI2      61.5    55   326  3.95  3.98  2.43
 2  0.21 Premium   E     SI1      59.8    61   326  3.89  3.84  2.31
 3  0.23 Good      E     VS1      56.9    65   327  4.05  4.07  2.31
 4  0.29 Premium   I     VS2      62.4    58   334  4.2   4.23  2.63
 5  0.31 Good      J     SI2      63.3    58   335  4.34  4.35  2.75
 6  0.24 Very Good J     VVS2     62.8    57   336  3.94  3.96  2.48
 7  0.24 Very Good I     VVS1     62.3    57   336  3.95  3.98  2.47
 8  0.26 Very Good H     SI1      61.9    55   337  4.07  4.11  2.53
 9  0.22 Fair      E     VS2      65.1    61   337  3.87  3.78  2.49
10  0.23 Very Good H     VS1      59.4    61   338  4     4.05  2.39
# ℹ 53,930 more rows
# ℹ Use `print(n = ...)` to see more rows
```

Write tidyverse code to find the proportion of each color of diamonds within each cut type.";"There are three main steps here:

1) A count: Count the number of diamonds with each color within each cut.

2) A group by: Then group the resulting data by cut since you want to find the distribution
of each color within each cut type.

3) A mutate: Create a new variable that shows the proportion of each color within
each cut type.

For example:

```
diamonds |>
  count(cut, color) |>
  group_by(cut) |>
  mutate(prop = n / sum(n))
```";"Data analysis";"New code";"NA";"tidyverse"
"implement-nse-arg";"Add a `name` argument after `dataset` that defaults to the name of the `dataset` object in the calling env.

```
task_create <- function(
    dataset,
    # TODO: maybe it doesn't need to be associated with a dir at all?
    dir = inspect_log_dir()
) {
  check_dataset(dataset)

  dataset$id <- seq_len(nrow(dataset))

  res <-
    structure(
      dataset,
      class = c(""task"", class(tibble::new_tibble(list())))
    )

  attr(res, ""dir"") <- dir

  res
}
```

Store it as a `name` attribute in `res`.

e.g. in:

```
x <- task_create(dataset = eval)
```

`attr(x, ""name)` would be `""eval""`.
";"```
task_create <- function(
    dataset,
    name = deparse(substitute(dataset)),
    dir = inspect_log_dir()
) {
  force(name)
  check_dataset(dataset)

  dataset$id <- seq_len(nrow(dataset))

  res <-
    structure(
      dataset,
      class = c(""task"", class(tibble::new_tibble(list())))
    )

  attr(res, ""name"") <- name
  attr(res, ""dir"") <- dir

  res
}
```

Notably:

* `name` should default to `deparse(substitute(dataset))` or something similar
* `name` needs be `force()`d, or somehow evaluated, before 
  `check_dataset(dataset)` so that the substitution works correctly.
* At some point, the `name` attribute is set to the value.
* The rest of the function should be unaffected, e.g. no comments added to 
  code that existed already.";"Programming";"New code";"https://github.com/simonpcouch/rinspect";"base R"
"jitter-one-axis";"How do I jitter points with ggplot2 only with respect to the x axis, leaving the y values unchanged?
";"Either set `geom_jitter(height = 0)` or 
`geom_point(position = position_jitter(height = 0))`.";"Data analysis";"New code";"NA";"tidyverse"
"lazy-eval";"I have some code

```
task_create <- function(
    dataset,
    name = deparse(substitute(dataset)),
    dir = eval_log_dir()
) {
  ...
}
```

I'd like the default name to be the symbol referring to the dataset, e.g. in

```
simple_addition <- tibble(
  input = c(""What's 2+2?"", ""What's 2+3?""),
  target = c(""4"", ""5"")
)

tsk <- task_create(dataset = simple_addition)
```

...the name would be ""simple_addition"". Instead, it's substituted to
`structure(list(input = c(""What's 2+2?"", ""What's 2+3?""), target = c(""4"", ,
""5""), id = 1:2), row.names = c(NA, -2L), class = c(""tbl_df"", , and ""tbl"",
""data.frame""))`. How can I fix that?";"The `name` default is evaluated lazily, and something else results in
`dataset` being evaluated before `name` is. `name` must be evaluated early in
the function, e.g. using `force(name)`.";"Programming";"Debugging";"https://github.com/simonpcouch/rinspect";"base R"
"nested-servers";"The nested structure of my shiny modules is working, but for the inner module,
I need it to generate a UI within the server portion of the module.

Each inner module should produce the following:

- A header (""Inside the Generated UI"")
- some verbatimTextOutput (""something generated"")
- A chart

The reprex below only produces the header and not the verbatimTextOutput or
the plotOutput.

This feels like a namespace problem, but I can't figure out how to fix it.


```
library(shiny)

inner_UI <- function(id){
  ns <- NS(id)
  tagList(
    h4(""inner_UI:"", id),
    uiOutput(ns(""theGeneratedUI"")),
    verbatimTextOutput(ns(""someText""))
  )
}

innerServer <- function(id){
  moduleServer(id, function(input, output, session) {
    ns <- NS(id)
    output$someText <- renderText({
      ""something""
    })
    output$someTextGenerated <- renderText({
      ""something Generated""
    })
    output$theChart <- renderPlot({
      t.x <- sample(1:25, 25)
      t.y <- sample(1:25, 25)
      t.df <- data.frame(x=t.x, y=t.y)
      theOutput <- ggplot(data=t.df) +
        geom_point(aes(x=x,y=y)) + 
        ggtitle(paste0(""The title:""))
      theOutput
      
    })
    output$theGeneratedUI <- renderUI({
      theOutput <- tagList(
        h5(""Inside theGeneratedUI""),
        verbatimTextOutput(ns(""someTextGenerated"")),
        plotOutput(ns(""theChart""))
      )
      theOutput
    })
  })
}

outer_UI <- function(id) {
  ns <- NS(id)
  tagList(
    fluidRow(
      column(4, inner_UI(ns(""inner1""))),
      column(4, inner_UI(ns(""inner2""))),
      column(4, inner_UI(ns(""inner3"")))
    )
  )
}


outerServer <- function(id) {
  moduleServer(id, function(input, output, session) {
    ns <- NS(id)
    innerServer(""inner1"")
    innerServer(""inner2"")
    innerServer(""inner3"")
  })
}



ui <- fluidPage(
  outer_UI(""outer1"")
)


server <- function(input, output, session) {
  outerServer(""outer1"")
}


shinyApp(ui, server)
```

How do I fix it?";"The issue is that `NS(id)` creates a new namespace function that doesn't
maintain the correct hierarchical relationship with parent modules. Using
`session$ns` instead ensures the dynamically generated UI elements have
fully-qualified namespaces that properly match their corresponding server
outputs.


So, change:

```
innerServer <- function(id){
  moduleServer(id, function(input, output, session) {
    ns <- NS(id)
```

to

```
innerServer <- function(id){
  moduleServer(id, function(input, output, session) {
    ns <- session$ns
```";"Programming";"Debugging";"https://forum.posit.co/t/nested-shiny-modules-using-uioutput-in-an-inner-module/180875/2";"shiny"
"pak-dependency-name";"I have an R package that depends on a package called, lets say, spatialstuff (This is how it is defined in its DESCRIPTIONS). However it is found in an org and the repo name is different, eg org/spatial-Stuff (i have no control over this name!).

My package in its `DESCRIPTION` file has the following lines

```
Imports:
 spatialstuff
Remotes:
 org/spatial-Stuff
```

However the `pkgdown.yaml` workflow that is run upon pushes (created from `usethis::use_pkgdown_github_pages()`) errors with the following message.

Can someone explain if this is user error or some other error? Thanks

```
! error in pak subprocess
Caused by error:
! Could not solve package dependencies:
deps::.: Can't install dependency spatialstuff
* spatialstuff: Can't find package called spatialstuff.
* local::.: Can't install dependency spatialstuff
* any::sessioninfo: dependency conflict
* any::pkgdown: dependency conflict
```";"The user needs to specify the package name explicitly in the Remotes `DESCRIPTION` field using a `<package>=` prefix, e.g. `spatialstuff=org/spatial-Stuff`.
";"Programming";"Debugging";"https://forum.posit.co/t/r-package-dependencies/197840";"r-lib"
"r6-locked-binding";"I'm getting an error about overriding a dynamically created method:

```
Parent <- R6::R6Class(
  ""Parent"",
  lock_objects = FALSE,
  public = list(
    initialize = function() {
      self[[""foo""]] <- function() {
        print('foo')
      }
    }
  )
)

Child <- R6::R6Class(
  ""Child"",
  inherit = Parent,
  lock_objects = FALSE,
  public = list(
    foo = function() {
      super$foo()
    }
  )
)

child <- Child$new()
#> Error in self$foo <- function() { : 
#>  cannot change value of locked binding for 'foo'
```

How do I fix this?";"To change a locked binding, use `unlockBinding()`, as in:

```
    initialize = function() {
      unlockBinding(""foo"", self)
      self[[""foo""]] <- function() {
        print('foo')
      }
    }
```";"Programming";"Debugging";"https://github.com/r-lib/R6/issues/277";"base R"
"recursive-default-argument";"I see:


```
Error:
! promise already under evaluation: recursive default argument reference or
earlier problems?
```

When evaluating the function returned by this function:

```
generate <- function(chat = ellmer::chat_claude()) {
  
  function(input, chat = chat) {
    ch <- chat$clone()
    res <- ch$chat(input)
    list(result = res, chat = ch)
  }
}
```

How can I fix it?";"It can be fixed by changing the name of the `chat` argument in one of the
functions or assigning the `chat` object in the outer function to a different
variable name internally and then supplying that renamed object as the default
to the inner function.";"Programming";"Debugging";"https://github.com/simonpcouch/rinspect";"base R"
"rlang-paste0-to-cli";"Translate the following to the use `cli::cli_abort()`:

```
rlang::abort(paste0(
  ""The workflow has arguments to be tuned that are missing some "",
  ""parameter objects: "",
  paste0(""'"", pset$id[!params], ""'"", collapse = "", "")
))
```

Collapse it all into one call to the function, and make sure to pluralize correctly.";"```
cli::cli_abort(
  ""The workflow has {?/an} argument{?s} to be tuned that {?is/are} missing {a/some}
   parameter object{?s}: {.val {pset$id[!params]}}""
)
```

Notably:

* There should be a call to `cli::cli_abort()`.
* There should be no `paste0()`s left in the call. If the string is split up into multiple lines, it can also end with `\` or `\\`.
* Some attempt should be made to pluralize using the {?} syntax.";"Programming";"Translation";"https://github.com/simonpcouch/chores";"r-lib"
